Year,County,Place,CFIPS,PFIPS,Total Population,Household Population,Group Quarters Population,Household Size,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Vacancy Percent,Household Pop to Housing Units Ratio
2017,Jefferson County,Wheat Ridge,59,84440,32282,31700,582,2.15,15304,14745.0,559.0,3.65,2.071353894406691
2017,Morgan County,Wiggins,87,84770,1046,1046,0,2.81,406,373.0,33.0,8.24,2.5763546798029555
2017,Prowers County,Wiley,99,85045,429,429,0,2.49,195,172.0,23.0,11.61,2.2
2017,Fremont County,Williamsburg,43,85155,698,685,12,2.55,288,269.0,19.0,6.63,2.3784722222222223
2017,Larimer County,Windsor (Part),69,85485,6097,6097,0,2.82,2323,2164.0,159.0,6.87,2.624623331898407
2017,Weld County,Windsor (Part),123,85485,20163,20057,106,2.73,7660,7349.0,311.0,4.06,2.618407310704961
2017,Grand County,Winter Park,49,85705,1021,1009,12,1.98,2630,510.0,2120.0,80.59,0.3836501901140684
2017,Teller County,Woodland Park,119,86090,7664,7664,0,2.4,3489,3198.0,291.0,8.33,2.196617942103755
2017,Yuma County,Wray,125,86310,2303,2211,92,2.42,1003,912.0,91.0,9.09,2.2043868394815553
2017,Routt County,Yampa,107,86475,394,394,0,2.42,200,163.0,37.0,18.46,1.97
2017,Yuma County,Yuma,125,86750,3508,3414,95,2.53,1439,1347.0,92.0,6.38,2.3724808895066016
2017,Adams County,Unincorp. Area,1,99990,96718,96400,318,3.01,32445,31987.0,458.0,1.41,2.971182000308214
2017,Alamosa County,Unincorp. Area,3,99990,6510,6442,68,2.57,2806,2505.0,301.0,10.73,2.2957947255880256
2017,Arapahoe County,Unincorp. Area,5,99990,95950,95124,826,2.7,36114,35189.0,925.0,2.56,2.633992357534474
2017,Archuleta County,Unincorp. Area,7,99990,11165,11116,49,2.27,8196,4892.0,3304.0,40.31,1.3562713518789653
2017,Baca County,Unincorp. Area,9,99990,1302,1302,0,2.31,708,563.0,145.0,20.48,1.8389830508474576
2017,Bent County,Unincorp. Area,11,99990,3679,1823,1856,2.36,952,773.0,179.0,18.79,1.9149159663865547
2017,Boulder County,Unincorp. Area,13,99990,45973,45905,67,2.33,21017,19675.0,1342.0,6.39,2.1841842318123423
2017,Chaffee County,Unincorp. Area,15,99990,9838,8584,1254,2.23,5437,3851.0,1586.0,29.18,1.578811844767335
2017,Cheyenne County,Unincorp. Area,17,99990,729,729,0,2.55,351,286.0,65.0,18.4,2.076923076923077
2017,Clear Creek County,Unincorp. Area,19,99990,6027,6017,10,2.21,3579,2727.0,852.0,23.8,1.6811958647666947
2017,Conejos County,Unincorp. Area,21,99990,4192,4146,46,2.57,2358,1613.0,745.0,31.61,1.7582697201017812
2017,Costilla County,Unincorp. Area,23,99990,2574,2574,0,2.17,1817,1183.0,634.0,34.88,1.4166208035222896
2017,Crowley County,Unincorp. Area,25,99990,4033,1273,2760,2.41,601,529.0,72.0,11.93,2.1181364392678868
2017,Custer County,Unincorp. Area,27,99990,3503,3503,0,2.17,3267,1617.0,1650.0,50.5,1.0722375267829813
2017,Delta County,Unincorp. Area,29,99990,13839,13257,582,2.38,6782,5574.0,1208.0,17.81,1.9547331170746092
2017,Dolores County,Unincorp. Area,33,99990,1120,1120,0,2.27,735,494.0,241.0,32.85,1.5238095238095237
2017,Douglas County,Unincorp. Area,35,99990,189930,189463,467,2.75,70024,68898.0,1126.0,1.61,2.7056866217296927
2017,Eagle County,Unincorp. Area,37,99990,24244,24244,0,2.77,14074,8760.0,5314.0,37.76,1.7226090663635072
2017,Elbert County,Unincorp. Area,39,99990,22171,22164,8,2.78,8243,7979.0,264.0,3.2,2.688826883416232
2017,El Paso County,Unincorp. Area,41,99990,190461,179846,10615,2.92,64229,61693.0,2536.0,3.95,2.800074732597425
2017,Fremont County,Unincorp. Area,43,99990,25137,18648,6490,2.32,9820,8027.0,1793.0,18.26,1.8989816700610997
2017,Garfield County,Unincorp. Area,45,99990,23585,23028,558,2.72,9606,8471.0,1135.0,11.81,2.3972517176764523
2017,Gilpin County,Unincorp. Area,47,99990,4762,4720,43,2.25,2834,2094.0,740.0,26.11,1.6654904728299225
2017,Grand County,Unincorp. Area,49,99990,8321,8169,152,2.21,8682,3696.0,4986.0,57.43,0.9409122322045612
2017,Gunnison County,Unincorp. Area,51,99990,7426,7334,92,2.32,6073,3158.0,2915.0,48.01,1.2076403754322411
2017,Hinsdale County,Unincorp. Area,53,99990,382,365,17,2.19,870,167.0,703.0,80.83,0.41954022988505746
2017,Huerfano County,Unincorp. Area,55,99990,2854,2774,80,2.08,2413,1331.0,1082.0,44.84,1.1496062992125984
2017,Jackson County,Unincorp. Area,57,99990,779,779,0,2.12,819,367.0,452.0,55.21,0.9511599511599511
2017,Jefferson County,Unincorp. Area,59,99990,198039,196126,1913,2.55,79506,77024.0,2482.0,3.12,2.466807536538123
2017,Kiowa County,Unincorp. Area,61,99990,611,611,0,2.52,305,243.0,62.0,20.31,2.00327868852459
2017,Kit Carson County,Unincorp. Area,63,99990,2237,2237,0,2.47,1070,905.0,165.0,15.4,2.0906542056074766
2017,Lake County,Unincorp. Area,65,99990,4680,4674,6,2.6,2608,1799.0,809.0,31.01,1.7921779141104295
2017,La Plata County,Unincorp. Area,67,99990,33248,33157,91,2.38,17182,13961.0,3221.0,18.75,1.9297520661157024
